_id,nombre,app,apm,id_carrera,id_grupo,id_alumno,curp,rfc,sexo,genero,estado_civil,updated_at,created_at
65e9f1c8a1b2c3d4e5f67932,Daniel,Mendoza,López,67d7a402693e07166103f482,65e9f1c8a1b2c3d4e5f67921,222210708,RAMJ040131HMCMRNA4,RAMJ040131,Masculino,Hombre,Soltero,2025-03-24 06:32:46.521,2025-03-24 06:32:46.521
65e9f1c8a1b2c3d4e5f67930,Luis,Gómez,Fernández,67d7a402693e07166103f482,65e9f1c8a1b2c3d4e5f67920,222210709,RLSM040221JHDFKDEU,RLSM040221,Masculino,Hombre,Soltero,2025-04-03 18:33:43.210,2025-04-03 18:33:43.210
65e9f1c8a1b2c3d4e5f67931,Hamblet,Ariel,Aguilar,67d7a402693e07166103f482,65e9f1c8a1b2c3d4e5f67920,222210613,AAGD020315HMCRTNA4,10255696,Masculino,Hombre,Casado,2025-04-12 16:22:08.962,2025-04-12 16:22:08.962
65e9f1c8a1b2c3d4e5f67933,Berenice,Anzaldo,Aguilar,67d7a402693e07166103f482,65e9f1c8a1b2c3d4e5f67921,222210689,GALA950520MDFRRNA1,GALA950520,Femenino,Mujer,Soltera,2025-04-22 05:40:20.000,2025-04-22 05:40:20.000
67e0fc8eff0a98cbb20b8de3,Juan,Ramirez,Morelos,67d7a402693e07166103f482,67d7a45f693e07166103f485,222210636,HEFM960615MDFRRRA2,HEFM960615,Femenino,Mujer,Soltera,2025-04-22 05:40:21.000,2025-04-22 05:40:21.000
67eed48873d99b5d8a00db02,Ricardo,Lopez,Segura,67d7a402693e07166103f483,67e1f1ac96c6160377f484bb,222210697,ROPV970720MDFDLA3,ROPV970720,Femenino,Mujer,Casada,2025-04-22 05:40:22.000,2025-04-22 05:40:22.000
67fa9331d2c1647a0f020cd2,Emmanuel,Crisantos,Romero,67d7a402693e07166103f482,67d7a45f693e07166103f485,222210699,GOSC980825MDFNMA4,GOSC980825,Femenino,Mujer,Soltera,2025-04-22 05:40:23.000,2025-04-22 05:40:23.000
680727c65fe81803570f8f24,Alexis,Galindo,Serrano,67d7a402693e07166103f482,67d7a45f693e07166103f485,220216,MAGI990930MDFTMA5,MAGI990930,Femenino,Mujer,Soltera,2025-04-22 05:40:24.000,2025-04-22 05:40:24.000
680727e85fe81803570f8f25,Alexis,Galindo,Serrano,67d7a402693e07166103f482,67d7a45f693e07166103f485,220216,LODX000101MDFPZA6,LODX000101,Femenino,Mujer,Soltera,2025-04-22 05:40:25.000,2025-04-22 05:40:25.000
680728115fe81803570f8f26,Alexis,Galindo,Serrano,67d7a402693e07166103f482,67d7a45f693e07166103f485,220216,RAVD010202MDFMZA7,RAVD010202,Femenino,Mujer,Soltera,2025-04-22 05:40:26.000,2025-04-22 05:40:26.000
680728225fe81803570f8f27,Alexis,Galindo,Serrano,67d7a402693e07166103f482,67d7a45f693e07166103f485,220216,SACR020303MDFNSA8,SACR020303,Femenino,Mujer,Soltera,2025-04-22 05:40:27.000,2025-04-22 05:40:27.000
680728855fe81803570f8f28,Alexis,Galindo,Serrano,67d7a402693e07166103f482,67d7a45f693e07166103f485,220216,FLOT030404MDFRRA9,FLOT030404,Femenino,Mujer,Soltera,2025-04-22 05:40:28.000,2025-04-22 05:40:28.000
680728a55fe81803570f8f29,Alexis,Galindo,Serrano,67d7a402693e07166103f482,67d7a45f693e07166103f485,220216,TOML040505MDFRNA0,TOML040505,Femenino,Mujer,Soltera,2025-04-22 05:40:29.000,2025-04-22 05:40:29.000
